templateCode,fieldKey,fieldLabel,required,dataSourceKind,classification,recommendedPrefillKind,reason,currentSampleValue,controlType
BM-122,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-122,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-123,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-123,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-124,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-125,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-125,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-125,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-125,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-125,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-126,"decision.summaryLine","Tóm tắt hồ sơ",false,COMPUTED,NEVER_AUTO,NONE,"Path ""decision.summaryLine"" starts with NEVER_AUTO path prefix.",,TEXT
BM-126,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"legalBasis.canCu","Căn cứ pháp lý",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""legalBasis.canCu"" is generic/common boilerplate safe for prefill.",,TEXT
BM-126,"person.tenNguoi","Tên người liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên người liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"document.tenVu","Tên vụ án / vụ việc",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tên vụ án / vụ việc"" matches NEVER_AUTO pattern.",,TEXT
BM-126,"person.toiDanh","Tội danh",false,MANUAL,NEVER_AUTO,NONE,"Label ""Tội danh"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-127,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
BM-127,"agency.coQuan","Cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-128,"agency.vienKiem","Tên cơ quan",false,AGENCY,NEVER_AUTO,NONE,"Label ""Tên cơ quan"" matches NEVER_AUTO pattern.",,TEXT
BM-128,"document.soQuyet","Số quyết định",false,MANUAL,NEVER_AUTO,NONE,"Label ""Số quyết định"" matches NEVER_AUTO pattern.",,TEXT
BM-128,"agency.diaDanh","Địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-128,"document.ngayBan","Ngày ban hành",false,MANUAL,SAFE_GENERIC_PREFILL,GENERIC_TEXT,"Path ""document.ngayBan"" is generic/common boilerplate safe for prefill.","01",TEXT
BM-128,"agency.dongDia","Dòng địa danh",false,AGENCY,NEVER_AUTO,NONE,"Label ""Dòng địa danh"" matches NEVER_AUTO pattern.",,TEXT
BM-128,"document.chuThe","Chủ thể liên quan",false,MANUAL,NEVER_AUTO,NONE,"Label ""Chủ thể liên quan"" matches NEVER_AUTO pattern.",,TEXT
